Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
14,73,9.5,82,1.0,1010.82,2,0,3.5,0,
39,96,8.5,71,1.0,1011.43,7,1,10.0,0,
30,64,7.0,16,0.0,1018.72,5,1,5.5,2,
38,83,1.5,82,0.0,1026.25,7,1,1.0,1,
27,74,17.0,66,2.0,990.67,1,0,2.5,2,
32,55,3.5,26,2.0,1010.03,2,2,5.0,0,
-2,97,8.0,86,2.0,990.87,1,0,4.0,0,
3,85,6.0,96,1.0,984.46,1,0,3.5,0,
3,83,6.0,66,2.0,999.44,0,0,1.0,2,
28,74,8.5,107,0.0,1012.13,8,0,7.5,1,
35,45,6.0,86,1.0,879.88,2,1,1.0,2,
38,43,2.0,16,0.0,1029.16,11,3,7.5,0,
12,59,10.5,25,1.0,1016.08,3,3,5.5,2,
-10,87,15.0,67,2.0,986.19,0,0,1.5,0,
24,21,3.5,8,0.0,1018.88,8,0,5.5,1,
10,50,6.5,46,1.0,1000.44,2,2,8.5,2,
30,27,7.0,13,1.0,1016.38,5,1,7.5,0,
33,51,0.5,27,2.0,1009.18,3,3,5.5,1,
43,46,0.5,15,0.0,1025.8,9,1,6.0,2,
13,102,12.0,72,0.0,1012.25,4,2,8.0,0,
-10,67,8.5,75,2.0,991.53,1,0,3.0,2,
-7,88,12.5,98,2.0,980.31,1,0,3.0,0,
33,36,7.5,18,0.0,1014.29,8,2,9.5,2,
26,73,13.5,29,2.0,1012.02,1,2,9.0,0,
38,83,7.0,101,1.0,1017.94,4,1,8.5,2,
4,79,1.0,85,1.0,982.53,1,0,4.5,0,
17,72,7.5,62,2.0,1010.16,2,2,3.0,2,
40,57,4.0,12,1.0,1020.73,11,0,9.5,1,
24,61,6.5,3,1.0,1018.15,7,3,5.5,2,
30,70,16.0,54,1.0,1007.75,0,0,3.0,2,
28,85,7.0,97,2.0,991.07,1,1,2.0,1,
2,61,16.5,63,2.0,995.74,0,0,1.0,0,
4,95,2.5,56,2.0,984.63,1,0,4.5,0,
15,97,23.0,91,2.0,1009.36,13,0,2.5,2,
29,69,3.0,15,0.0,1012.09,10,0,5.5,0,
35,21,10.0,6,0.0,1026.81,5,3,7.5,1,
11,90,25.5,76,1.0,996.17,0,0,1.0,2,
2,105,19.0,109,2.0,991.68,7,0,3.5,2,
-9,49,1.5,58,1.0,1132.2,8,1,16.5,2,
27,64,11.5,37,1.0,1017.27,3,3,8.0,1,
32,37,0.5,9,1.0,1013.99,11,0,8.5,0,
36,22,1.0,0,0.0,1028.63,10,2,5.5,2,
28,54,15.0,39,1.0,1018.86,3,0,8.5,2,
42,64,2.0,18,1.0,1028.55,8,3,8.0,2,
21,43,10.0,11,0.0,1019.41,11,1,6.0,2,
22,50,0.0,18,0.0,1016.5,5,2,8.0,1,
33,66,9.0,18,1.0,1014.34,3,3,6.0,2,
26,25,2.5,14,1.0,1010.34,8,0,5.0,2,
26,91,9.5,82,2.0,1019.42,3,2,4.0,2,
-2,98,18.5,86,2.0,981.26,0,0,3.5,2,
17,90,11.0,98,2.0,1017.49,3,0,4.0,0,
25,55,8.5,37,1.0,1014.49,4,2,7.5,0,
-4,96,20.0,88,1.0,990.72,1,0,4.5,2,
-1,87,14.0,78,2.0,984.11,0,0,4.0,0,
-5,94,5.5,55,2.0,991.65,0,0,3.0,0,
22,95,13.0,90,2.0,997.97,3,3,2.5,1,
41,85,9.0,101,2.0,1017.89,3,2,7.5,2,
33,41,0.0,4,0.0,1018.56,7,0,9.5,1,
31,70,0.5,69,2.0,1074.07,3,1,12.5,0,
16,84,18.5,54,2.0,996.12,0,1,3.0,1,
10,64,14.0,18,2.0,1011.96,1,1,8.5,1,
29,63,6.0,68,2.0,992.45,0,0,3.0,2,
15,55,1.5,32,1.0,1009.01,2,3,5.5,0,
3,75,46.5,87,2.0,996.85,5,0,4.5,0,
24,52,9.0,29,1.0,1007.84,1,3,8.0,2,
25,85,9.0,67,2.0,995.4,1,0,2.0,2,
25,89,1.5,87,1.0,1017.16,11,2,6.5,2,
24,47,8.0,17,0.0,1025.22,5,2,6.0,2,
2,97,2.0,89,1.0,993.14,0,0,3.0,0,
21,54,3.0,17,0.0,1026.15,7,2,8.0,2,
2,81,13.5,57,2.0,983.36,1,0,4.0,0,
21,75,3.5,41,1.0,1017.74,2,0,8.0,2,
11,52,6.0,97,2.0,1063.39,7,2,12.5,0,
31,62,6.5,84,2.0,1013.61,0,1,4.5,0,
33,31,6.5,18,0.0,1022.53,7,2,8.5,1,
34,47,5.0,4,0.0,1027.53,9,1,10.0,0,
21,66,13.5,29,1.0,1018.98,3,3,8.5,2,
28,68,18.0,90,2.0,992.83,3,0,5.0,2,
33,62,10.0,83,1.0,1009.48,1,2,3.5,0,
25,96,6.0,90,2.0,1006.67,0,3,4.5,2,
27,73,9.5,47,1.0,1017.82,1,2,7.0,1,
49,75,11.5,82,1.0,1029.09,10,2,7.0,1,
-5,73,12.0,63,1.0,983.83,1,0,4.5,0,
31,62,5.5,99,2.0,1019.92,0,2,4.5,2,
2,91,6.5,92,2.0,999.46,0,0,2.5,0,
32,35,2.5,63,1.0,1160.48,2,0,0.0,1,
-7,78,10.0,96,2.0,999.99,7,0,1.0,0,
27,43,1.0,8,0.0,1022.48,9,2,9.0,2,
12,56,9.5,19,1.0,1014.4,4,0,6.5,2,
-7,93,9.0,60,2.0,995.63,1,0,4.0,0,
15,81,28.5,71,1.0,1008.0,4,0,6.0,0,
30,64,6.0,67,1.0,1009.12,3,2,4.0,1,
19,93,14.5,57,2.0,1018.44,0,0,4.0,0,
14,44,9.0,11,1.0,853.01,14,0,3.5,1,
32,38,11.0,15,1.0,824.71,9,3,12.5,0,
17,88,18.0,83,1.0,1026.94,0,1,5.5,2,
23,88,11.5,65,2.0,1000.74,1,0,5.0,2,
28,35,9.5,0,1.0,1023.62,9,0,10.0,1,
-4,87,5.0,54,2.0,981.02,1,0,4.5,2,
31,72,17.0,96,1.0,1013.85,13,0,3.5,0,
40,66,8.0,5,0.0,1019.82,5,3,5.5,2,
20,24,3.0,6,0.0,1013.68,9,0,6.5,2,
-7,61,2.5,99,2.0,994.34,1,0,2.5,0,
-3,82,0.0,65,2.0,991.66,0,0,1.5,0,
22,65,6.0,14,1.0,1010.17,8,3,7.0,1,
33,79,4.5,43,2.0,1007.94,1,1,7.0,1,
29,47,8.5,2,0.0,1027.33,11,2,5.5,0,
13,80,15.5,59,2.0,1012.06,0,3,3.5,2,
27,39,5.0,16,0.0,1021.61,5,3,5.0,2,
38,75,0.5,79,2.0,1057.69,0,2,10.0,0,
20,48,9.5,6,0.0,1015.16,6,3,8.5,2,
19,82,7.0,85,1.0,1008.5,1,2,3.5,1,
18,70,5.0,94,2.0,1012.87,2,1,3.5,2,
18,60,12.5,42,2.0,822.66,2,2,17.5,2,
2,80,13.5,79,2.0,995.74,1,0,1.5,0,
1,81,9.5,63,2.0,983.99,1,0,3.5,2,
22,69,1.0,19,1.0,1011.5,2,3,6.0,2,
-10,70,2.5,56,2.0,989.29,1,0,4.0,2,
32,61,5.5,53,2.0,995.09,2,2,4.0,0,
41,29,8.0,17,0.0,1011.53,11,1,10.0,0,
-1,99,2.5,72,2.0,998.51,0,0,2.0,2,
31,65,1.5,18,2.0,1008.47,2,2,9.0,0,
19,62,1.0,14,1.0,1016.5,2,3,5.5,1,
-3,92,28.0,99,1.0,987.7,1,0,4.5,2,
-1,83,18.0,73,2.0,983.46,0,0,1.5,0,
3,70,2.0,81,2.0,984.9,1,0,2.0,2,
0,64,4.5,52,2.0,984.59,1,0,1.0,0,
26,76,9.0,68,2.0,1004.27,3,1,3.5,0,
22,92,19.5,81,2.0,1017.76,0,0,4.5,1,
20,96,14.0,94,2.0,997.77,0,2,4.5,2,
23,52,1.0,36,1.0,1017.92,1,1,8.5,2,
3,81,2.5,89,2.0,992.78,1,0,2.0,2,
20,95,16.0,91,2.0,1016.14,0,2,2.5,2,
-2,91,2.5,83,2.0,982.21,1,0,4.0,2,
29,77,0.5,91,,934.49,14,3,17.0,0,
